run, time 
1, 0.07283830642700195 
2, 0.06599545478820801 
3, 0.07195568084716797 
4, 0.06595301628112793 
5, 0.06597089767456055 
6, 0.07195115089416504 
7, 0.07279682159423828 
8, 0.06897187232971191 
9, 0.07794737815856934 
10, 0.0759882926940918 
11, 0.07112860679626465 
12, 0.07094931602478027 
13, 0.07394814491271973 
14, 0.07324862480163574 
15, 0.06695318222045898 
16, 0.07095980644226074 
17, 0.07288765907287598 
18, 0.07894349098205566 
19, 0.07095122337341309 
20, 0.06395435333251953 
21, 0.06695079803466797 
22, 0.06796908378601074 
23, 0.06994771957397461 
24, 0.08096575736999512 
25, 0.07095170021057129 
26, 0.06595325469970703 
27, 0.06805658340454102 
28, 0.07421684265136719 
29, 0.08094310760498047 
30, 0.07594823837280273 
31, 0.07694482803344727 
32, 0.06595396995544434 
33, 0.06695270538330078 
34, 0.0699622631072998 
35, 0.07494688034057617 
36, 0.06896376609802246 
37, 0.06995153427124023 
38, 0.07341289520263672 
39, 0.07195258140563965 
40, 0.07297778129577637 
41, 0.0701456069946289 
42, 0.0709526538848877 
43, 0.09101557731628418 
44, 0.06915140151977539 
45, 0.0719609260559082 
46, 0.06695270538330078 
47, 0.07595634460449219 
48, 0.06695199012756348 
49, 0.0649571418762207 
50, 0.08095693588256836 
51, 0.06988716125488281 
52, 0.0679483413696289 
53, 0.06896448135375977 
54, 0.06675958633422852 
55, 0.07394933700561523 
56, 0.06795167922973633 
57, 0.06895065307617188 
58, 0.0737607479095459 
59, 0.07232165336608887 
60, 0.07694578170776367 
61, 0.07507777214050293 
62, 0.07294249534606934 
63, 0.07200217247009277 
64, 0.07494974136352539 
65, 0.07976126670837402 
66, 0.07296299934387207 
67, 0.07896137237548828 
68, 0.07906413078308105 
69, 0.06994938850402832 
70, 0.06695342063903809 
71, 0.07399439811706543 
72, 0.07296538352966309 
73, 0.06415343284606934 
74, 0.08294081687927246 
75, 0.07204890251159668 
76, 0.07296442985534668 
77, 0.06784558296203613 
78, 0.06813359260559082 
79, 0.06695127487182617 
80, 0.0689542293548584 
81, 0.07894778251647949 
82, 0.07394909858703613 
83, 0.08025312423706055 
84, 0.07594776153564453 
85, 0.08094429969787598 
86, 0.07494902610778809 
87, 0.06695103645324707 
88, 0.06595325469970703 
89, 0.06794953346252441 
90, 0.07494807243347168 
91, 0.0719757080078125 
92, 0.07894706726074219 
93, 0.06698155403137207 
94, 0.06395745277404785 
95, 0.06995105743408203 
96, 0.07404470443725586 
97, 0.06995677947998047 
98, 0.07095026969909668 
99, 0.06695365905761719 
100, 0.07794380187988281 
