run, time 
1, 10.471760988235474 
2, 13.384706020355225 
3, 10.39606261253357 
4, 10.486788272857666 
5, 10.450194120407104 
6, 15.73902177810669 
7, 10.395516633987427 
8, 11.513137340545654 
9, 10.389397859573364 
10, 10.391452550888062 
11, 10.3766188621521 
12, 10.697130680084229 
13, 11.950941324234009 
14, 12.263183832168579 
15, 12.440860748291016 
16, 11.616506338119507 
17, 14.844074010848999 
18, 11.664979219436646 
19, 10.428244352340698 
20, 10.38343596458435 
21, 10.400291204452515 
22, 10.915531873703003 
23, 12.151755332946777 
24, 10.374240398406982 
25, 11.45324182510376 
26, 12.359440088272095 
27, 13.943256855010986 
28, 14.862046003341675 
29, 10.584319353103638 
30, 11.190664529800415 
31, 10.743133306503296 
32, 10.45173168182373 
33, 11.36934781074524 
34, 10.379056692123413 
35, 15.218122482299805 
36, 10.379201889038086 
37, 11.495916604995728 
38, 10.409975051879883 
39, 10.647590160369873 
40, 10.43189549446106 
41, 10.596357345581055 
42, 11.534732103347778 
43, 10.485212802886963 
44, 11.447192907333374 
45, 11.705781698226929 
46, 10.40009355545044 
47, 15.23992133140564 
48, 14.224981307983398 
49, 10.411974668502808 
50, 10.429425239562988 
51, 10.377273082733154 
52, 10.407628059387207 
53, 10.417848587036133 
54, 10.394475936889648 
55, 10.400398254394531 
56, 10.39818286895752 
57, 10.39444899559021 
58, 10.470363140106201 
59, 10.45852541923523 
60, 10.38154411315918 
61, 10.400928735733032 
62, 10.426425695419312 
63, 12.104596853256226 
64, 10.381607294082642 
65, 10.395504236221313 
66, 10.391586065292358 
67, 10.38843321800232 
68, 10.42608094215393 
69, 10.467833995819092 
70, 10.457778215408325 
71, 10.955813646316528 
72, 10.397062540054321 
73, 10.430522203445435 
74, 10.704776763916016 
75, 13.32170820236206 
76, 11.577136039733887 
77, 10.705472469329834 
78, 10.41752004623413 
79, 10.389378070831299 
80, 10.38599705696106 
81, 10.740074872970581 
82, 14.074595212936401 
83, 10.437009334564209 
84, 10.416463136672974 
85, 12.618697881698608 
86, 10.401856422424316 
87, 11.285105466842651 
88, 10.392662525177002 
89, 11.336992263793945 
90, 10.373883485794067 
91, 11.678848028182983 
92, 11.054632902145386 
93, 10.549042701721191 
94, 10.381761312484741 
95, 11.433262109756473
96, 11.858485698699951 
97, 10.426715850830078 
98, 11.123435464563297 
99, 11.368785623456782
100, 10.213456789643895 
