event,file_size,storage_mode,max_erasures,time
finished,10240,erasure_coding_rs,1,0.003143787384033203
erasure_write,10240,erasure_coding_rs,1,0.0033979415893554688
finished,10240,erasure_coding_rs,1,0.0043485164642333984
erasure_write,10240,erasure_coding_rs,1,0.002662181854248047
finished,10240,erasure_coding_rs,1,0.0031540393829345703
erasure_write,10240,erasure_coding_rs,1,0.0026178359985351562
finished,10240,erasure_coding_rs,1,0.0030906200408935547
erasure_write,10240,erasure_coding_rs,1,0.002643585205078125
finished,10240,erasure_coding_rs,1,0.003118276596069336
erasure_write,10240,erasure_coding_rs,1,0.002609729766845703
finished,10240,erasure_coding_rs,1,0.0031061172485351562
erasure_write,10240,erasure_coding_rs,1,0.0027298927307128906
finished,10240,erasure_coding_rs,1,0.003351449966430664
erasure_write,10240,erasure_coding_rs,1,0.002618074417114258
finished,10240,erasure_coding_rs,1,0.003140687942504883
erasure_write,10240,erasure_coding_rs,1,0.0026330947875976562
finished,10240,erasure_coding_rs,1,0.003122568130493164
erasure_write,10240,erasure_coding_rs,1,0.002559661865234375
finished,10240,erasure_coding_rs,1,0.003009796142578125
erasure_write,10240,erasure_coding_rs,1,0.003687620162963867
finished,10240,erasure_coding_rs,1,0.004184722900390625
erasure_write,10240,erasure_coding_rs,1,0.0026514530181884766
finished,10240,erasure_coding_rs,1,0.003103971481323242
erasure_write,10240,erasure_coding_rs,1,0.002700328826904297
finished,10240,erasure_coding_rs,1,0.003185272216796875
erasure_write,10240,erasure_coding_rs,1,0.00283050537109375
finished,10240,erasure_coding_rs,1,0.003595113754272461
erasure_write,10240,erasure_coding_rs,1,0.00257110595703125
finished,10240,erasure_coding_rs,1,0.0031778812408447266
erasure_write,10240,erasure_coding_rs,1,0.0037899017333984375
finished,10240,erasure_coding_rs,1,0.004584074020385742
erasure_write,10240,erasure_coding_rs,1,0.0027077198028564453
finished,10240,erasure_coding_rs,1,0.003345489501953125
erasure_write,10240,erasure_coding_rs,1,0.0030226707458496094
finished,10240,erasure_coding_rs,1,0.0036287307739257812
erasure_write,10240,erasure_coding_rs,1,0.0026590824127197266
finished,10240,erasure_coding_rs,1,0.0032279491424560547
erasure_write,10240,erasure_coding_rs,1,0.002922534942626953
finished,10240,erasure_coding_rs,1,0.0034117698669433594
