run, time 
1, 28.280916929244995 
2, 28.13837218284607 
3, 28.154228925704956 
4, 28.113038778305054 
5, 28.077664852142334 
6, 28.071690797805786 
7, 28.055150508880615 
8, 28.079960107803345 
9, 28.087825536727905 
10, 28.051690340042114 
11, 28.10617446899414 
12, 28.12993574142456 
13, 28.048688888549805 
14, 28.070533514022827 
15, 28.467039585113525 
16, 28.069388389587402 
17, 28.07462477684021 
18, 28.070977449417114 
19, 28.03974461555481 
20, 29.220707178115845 
21, 28.05152416229248 
22, 28.058748722076416 
23, 29.93358850479126 
24, 28.073757886886597 
25, 28.09206986427307 
26, 28.038891792297363 
27, 29.667431116104126 
28, 28.092037677764893 
29, 28.077755451202393 
30, 28.082674980163574 
31, 28.092103004455566 
32, 28.064199209213257 
33, 28.063751697540283 
34, 28.06548309326172 
35, 28.073206663131714 
36, 28.099350452423096 
37, 28.63536262512207 
38, 28.060345888137817 
39, 28.108356714248657 
40, 28.08667492866516 
41, 28.05839514732361 
42, 28.06759023666382 
43, 29.53622603416443 
44, 28.038200855255127 
45, 28.09430193901062 
46, 28.040584087371826 
47, 28.056329011917114 
48, 28.072380542755127 
49, 28.141742706298828 
50, 28.09042978286743 
51, 28.0887668132782 
52, 28.087769269943237 
53, 28.07178258895874 
54, 28.065199613571167 
55, 28.07753014564514 
56, 28.05538535118103 
57, 28.077027559280396 
58, 28.07926321029663 
59, 28.072086572647095 
60, 28.0952045917511 
61, 30.146109580993652 
62, 28.809942722320557 
63, 28.09213614463806 
64, 28.145416975021362 
65, 28.09276008605957 
66, 28.09410047531128 
67, 28.081098079681396 
68, 28.042996168136597 
69, 28.12912106513977 
70, 28.106905937194824 
71, 28.107677221298218 
72, 28.119154453277588 
73, 28.076438903808594 
74, 28.103675603866577 
75, 29.455366849899292 
76, 28.084728002548218 
77, 28.065767765045166 
78, 28.0431809425354 
79, 28.081901788711548 
80, 28.074981689453125 
81, 28.071479082107544 
82, 28.055890321731567 
83, 28.07997989654541 
84, 28.130568504333496 
85, 28.06167197227478 
86, 28.067747592926025 
87, 28.068321704864502 
88, 28.053654670715332 
89, 28.115007162094116 
90, 28.060676097869873 
91, 28.0815646648407 
92, 28.09594464302063 
93, 28.08108401298523 
94, 28.07702326774597 
95, 28.072916269302368 
96, 28.096991062164307 
97, 28.67050004005432 
98, 28.080291271209717 
99, 29.463494777679443 
100, 28.09597158432007 
