run, time 
1, 0.12092781066894531 
2, 0.03272652626037598 
3, 0.03742218017578125 
4, 0.03917050361633301 
5, 0.04407978057861328 
6, 0.03531956672668457 
7, 0.03707075119018555 
8, 0.04272651672363281 
9, 0.03774619102478027 
10, 0.043395280838012695 
11, 0.04416155815124512 
12, 0.044189453125 
13, 0.042757272720336914 
14, 0.044939279556274414 
15, 0.041825294494628906 
16, 0.04338526725769043 
17, 0.04555320739746094 
18, 0.0444798469543457 
19, 0.044088125228881836 
20, 0.032053470611572266 
21, 0.04122591018676758 
22, 0.045157432556152344 
23, 0.04963088035583496 
24, 0.04504680633544922 
25, 0.04492330551147461 
26, 0.04566645622253418 
27, 0.04331612586975098 
28, 0.044617414474487305 
29, 0.041692495346069336 
30, 0.04394388198852539 
31, 0.04584789276123047 
32, 0.04736137390136719 
33, 0.0358734130859375 
34, 0.03502202033996582 
35, 0.04825186729431152 
36, 0.030420303344726562 
37, 0.04510331153869629 
38, 0.03979039192199707 
39, 0.0564579963684082 
40, 0.03993368148803711 
41, 0.04631328582763672 
42, 0.04408574104309082 
43, 0.04193425178527832 
44, 0.044647932052612305 
45, 0.044889211654663086 
46, 0.03642010688781738 
47, 0.04684042930603027 
48, 0.04707193374633789 
49, 0.034433603286743164 
50, 0.04490399360656738 
51, 0.04872846603393555 
52, 0.0400388240814209 
53, 0.046923160552978516 
54, 0.04594755172729492 
55, 0.03397107124328613 
56, 0.0313105583190918 
57, 0.047919511795043945 
58, 0.04739832878112793 
59, 0.05282878875732422 
60, 0.0429532527923584 
61, 0.04705500602722168 
62, 0.04419255256652832 
63, 0.04464101791381836 
64, 0.032684326171875 
65, 0.04043865203857422 
66, 0.03348970413208008 
67, 0.04766368865966797 
68, 0.04438972473144531 
69, 0.04899859428405762 
70, 0.04383516311645508 
71, 0.04477334022521973 
72, 0.04363203048706055 
73, 0.04348421096801758 
74, 0.04488706588745117 
75, 0.0425565242767334 
76, 0.043730974197387695 
77, 0.046027421951293945 
78, 0.045298099517822266 
79, 0.03412890434265137 
80, 0.043053627014160156 
81, 0.04534912109375 
82, 0.04406547546386719 
83, 0.044257402420043945 
84, 0.04270172119140625 
85, 0.03932929039001465 
86, 0.04112887382507324 
87, 0.04476666450500488 
88, 0.04459953308105469 
89, 0.04323410987854004 
90, 0.04562020301818848 
91, 0.0436701774597168 
92, 0.04100203514099121 
93, 0.034571170806884766 
94, 0.04080486297607422 
95, 0.041643381118774414 
96, 0.04526805877685547 
97, 0.04703521728515625 
98, 0.03934049606323242 
99, 0.04460620880126953 
100, 0.04765129089355469 
