run,time
1, 2.1394295692443848 
2, 2.109628915786743 
3, 2.0522305965423584 
4, 2.0523247718811035 
5, 2.0523276329040527 
6, 2.0607495307922363 
7, 2.0630369186401367 
8, 2.0576953887939453 
9, 2.0805604457855225 
10, 2.1106069087982178 
11, 2.0699222087860107 
12, 2.054689884185791 
13, 2.091378688812256 
14, 2.0833580493927 
15, 2.058547258377075 
16, 2.06422758102417 
17, 2.0636098384857178 
18, 2.0934927463531494 
19, 2.0624616146087646 
20, 2.068976879119873 
21, 2.117455244064331 
22, 2.096470355987549 
23, 2.0427300930023193 
24, 2.0555615425109863 
25, 2.069056987762451 
26, 2.0548932552337646 
27, 2.0522971153259277 
28, 2.049301862716675 
29, 2.0687925815582275 
30, 2.1066489219665527 
31, 2.0709927082061768 
32, 2.0486714839935303 
33, 2.069028854370117 
34, 2.0653133392333984 
35, 2.0598642826080322 
36, 2.0504534244537354 
37, 2.0472934246063232 
38, 2.07934308052063 
39, 2.080230951309204 
40, 2.0775949954986572 
41, 2.070596933364868 
42, 2.0574934482574463 
43, 2.0563693046569824 
44, 2.0576000213623047 
45, 2.063631296157837 
46, 2.0561742782592773 
47, 2.0523147583007812 
48, 2.0491645336151123 
49, 2.055803060531616 
50, 2.0568602085113525 
51, 2.0624277591705322 
52, 2.0511693954467773 
53, 2.0601601600646973 
54, 2.0672152042388916 
55, 2.06494402885437 
56, 2.0673763751983643 
57, 2.0643274784088135 
58, 2.0486831665039062 
59, 2.054325580596924 
60, 2.061177968978882 
61, 2.054243326187134 
62, 2.053208827972412 
63, 2.0623481273651123 
64, 2.071234941482544 
65, 2.08632755279541 
66, 2.0747897624969482 
67, 2.0613694190979004 
68, 2.0734641551971436 
69, 2.0401134490966797 
70, 2.0743441581726074 
71, 2.0916333198547363 
72, 2.05179500579834 
73, 2.0571815967559814 
74, 2.063584804534912 
75, 2.0904653072357178 
76, 2.055323362350464 
77, 2.053621768951416 
78, 2.072000026702881 
79, 2.065941572189331 
80, 2.0630385875701904 
81, 2.0423312187194824 
82, 2.068080425262451 
83, 2.060500144958496 
84, 2.0597755908966064 
85, 2.0600507259368896 
86, 2.055809736251831 
87, 2.0633130073547363 
88, 2.0997612476348877 
89, 2.078280210494995 
90, 2.0807135105133057 
91, 2.059772253036499 
92, 2.0628106594085693 
93, 2.0690932273864746 
94, 2.058955430984497 
95, 2.0626754760742188 
96, 2.0538089275360107 
97, 2.0785069465637207 
98, 2.0614593029022217 
99, 2.067112922668457 
100, 2.0577478408813477 
